"spalte";"wert";"anzahl";"prozent"
"Mk";"PAGANI";"5";"0"
"Mk";"SIN MARCA";"5";"0"
"Mk";"FORD/BURSTNER";"5";"0"
"Mk";"BUGATTI";"5";"0"
"Mk";"CHANGAN MAZDA";"5";"0"
"Mk";"AUTOMOBILI LAMBORGHINI SP";"5";"0"
"Mk";"BAYER.MOT.WERKE-BMW";"5";"0"
"Mk";"ESTELLA";"5";"0"
"Mk";"FORD/ CHAUSSON";"5";"0"
"Mk";"FORD/AUTO GALERIA";"5";"0"
"Mk";"FIAT/EURA MOBIL";"5";"0"
"Mk";"FIAT/MOBILVETTA";"5";"0"
"Mk";"JIAYUAN";"4";"0"
"Mk";"LANDROVER";"4";"0"
"Mk";"JAECOO- OMODA- CHERY- FOWNIX";"4";"0"
"Mk";"FORD/FRANK-CARS";"4";"0"
"Mk";"FORD/GIOTTILINE";"4";"0"
"Mk";"MERCEDES/CARTHAGO";"4";"0"
"Mk";"RIMAC";"4";"0"
"Mk";"SERES-DFSK-SOKON-AITO";"4";"0"
"Mk";"OVRIGT";"4";"0"
"Mk";"MOKE INTERNATIONAL";"4";"0"
"Mk";"NETA";"4";"0"
"Mk";"BOLDMEN";"4";"0"
"Mk";"CITROEN/DETHLEFFS";"4";"0"
"Mk";"BEIJING AUTOMOTIVE GROUP";"4";"0"
"Mk";"API CZ";"4";"0"
"Mk";"AVANTIER";"4";"0"
"Mk";"CMS-AUTO/MERCEDES-BENZ";"4";"0"
"Mk";"FIAT/SUNLIVING";"4";"0"
"Mk";"FORD TRANSIT/FRANK-CARS";"4";"0"
"Mk";"FIAT/ROLLER TEAM";"4";"0"
"Mk";"FIAT/CARPOL";"4";"0"
"Mk";"FIAT/NIESMANN+BISCHOFF";"4";"0"
"Mk";"CITROEN/LMC";"3";"0"
